	GSM8343538	GSM8343539	GSM8343540	GSM8343541	GSM8343542	GSM8343543
10694	3249	7946	10691	10666	13026	9722
56911	0	7	19	14	14	3
105369299	12	31	27	33	42	18
571	1414	4658	5526	5829	6509	5246
100874322	24	53	45	43	36	52
107985486	50	91	91	103	75	102
105372770	72	88	63	60	45	94
54147	4	25	19	25	17	24
2897	219	396	253	356	371	477
105372768	45	110	77	105	81	137
100379661	8	37	38	33	30	20
642976	2	6	5	12	9	11
7074	1662	2748	4265	4382	4355	3378
107985487	6	45	94	87	80	61
105372777	45	43	14	46	22	42
150051	186	105	140	122	158	124
102724449	2	6	11	10	4	3
6647	1254	4768	5940	5992	7595	5134
57466	3671	5215	6726	6769	7711	5584
30811	1977	2485	2464	3573	3843	3353
54069	1110	1455	1824	1848	2020	1569
56246	25	93	96	131	101	109
105372779	9	21	15	32	46	40
9875	1164	2230	2748	2844	3406	3011
677846	21	7	21	13	8	17
84996	7	13	42	28	35	25
59271	25	24	26	21	12	17
110091775	664	824	971	959	1122	706
140290	38	58	92	78	66	45
105372782	16	31	43	39	25	26
56683	852	1178	1371	1392	1587	1032
8867	451	1437	990	1431	1387	1082
100506215	179	514	614	642	658	610
94104	2435	5052	6174	6036	6261	5350
54067	45	40	34	49	26	23
56245	287	491	108	302	245	103
10215	10	24	24	46	139	310
107985505	1	4	4	9	28	70
101930746	0	10	1	4	12	10
116448	13	81	40	162	403	722
3455	805	990	1302	1290	1313	1069
100288432	31	27	22	43	29	33
3588	185	253	256	253	225	229
3454	1217	2499	2402	2696	2783	2245
3460	354	753	1199	1262	1186	1087
757	628	1349	1316	1516	1756	1265
54943	38	139	159	162	135	117
2618	1989	4930	6000	5500	7125	5847
6651	16196	22705	26692	27978	31226	24693
102465248	146	227	266	317	325	269
107985481	232	719	780	950	859	766
29980	1786	1709	2097	1838	2334	1988
9946	500	1417	1314	1405	1467	1102
6453	2858	7075	7574	8562	8813	7288
539	1967	4535	5738	5589	6304	4284
100506334	270	323	454	546	560	551
101928126	48	82	165	162	178	202
105372790	17	12	22	13	11	17
105372789	4	22	22	24	6	24
64968	472	1750	2376	2293	2748	2163
6526	1796	4421	7387	7426	7502	6943
114036	11	43	54	67	56	62
